Model,Accuracy,Precision,Recall,F1,AUC
Logistic Regression,0.8044692737430168,0.7931034482758621,0.6666666666666666,0.7244094488188977,0.8437417654808959
Decision Tree,0.7653631284916201,0.7547169811320755,0.5797101449275363,0.6557377049180327,0.7971014492753623
Random Forest,0.8156424581005587,0.8,0.6956521739130435,0.7441860465116279,0.8300395256916996
