mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__max_features,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3696278095245361,0.01953183551582172,0.05695667266845703,0.006964547965474846,5,sqrt,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.74,0.6451612903225806,0.8076923076923077,0.7843137254901961,0.7524752475247525,0.7459285142059674,0.05571396779652372,1
0.7640544414520264,0.0695248336386255,0.11478323936462402,0.02279601529466765,5,sqrt,200,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.74,0.6451612903225806,0.7884615384615384,0.7843137254901961,0.76,0.7435873108548631,0.05223459358377429,3
1.3621833324432373,0.04619950373592875,0.09677910804748535,0.004610293920214693,5,sqrt,300,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 300}",0.7326732673267327,0.6451612903225806,0.780952380952381,0.7843137254901961,0.74,0.7366201328183781,0.050262805585453985,9
0.48305721282958985,0.08143110262184206,0.10775856971740723,0.045799453723017,5,log2,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.74,0.6451612903225806,0.8076923076923077,0.7843137254901961,0.7524752475247525,0.7459285142059674,0.05571396779652372,1
0.7917225360870361,0.08421633987470822,0.10292129516601563,0.019231122079786164,5,log2,200,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.74,0.6451612903225806,0.7884615384615384,0.7843137254901961,0.76,0.7435873108548631,0.05223459358377429,3
1.1911630630493164,0.052142575286824845,0.11329379081726074,0.027010893991157126,5,log2,300,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 300}",0.7326732673267327,0.6451612903225806,0.780952380952381,0.7843137254901961,0.74,0.7366201328183781,0.050262805585453985,9
0.4375873565673828,0.026552972761363307,0.051696157455444335,0.009051114758095159,10,sqrt,100,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7254901960784313,0.6213592233009708,0.7962962962962963,0.7962962962962963,0.7547169811320755,0.7388317986208139,0.0645514993168745,7
0.8085525512695313,0.12027175873342136,0.12163643836975098,0.056529366714016385,10,sqrt,200,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.7115384615384616,0.62,0.7962962962962963,0.7924528301886793,0.7572815533980582,0.7355138282842991,0.0653125637953627,11
1.3030702590942382,0.046924517044690556,0.11360435485839844,0.01508748483928349,10,sqrt,300,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 300}",0.7184466019417476,0.62,0.8037383177570093,0.8037383177570093,0.75,0.7391846474911532,0.06795052798952492,5
0.40039587020874023,0.03676737188551105,0.06700067520141602,0.016888243864515658,10,log2,100,"{'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7254901960784313,0.6213592233009708,0.7962962962962963,0.7962962962962963,0.7547169811320755,0.7388317986208139,0.0645514993168745,7
