Method,Accuracy,Precision,Recall,F1
Baseline Random Forest,0.8156424581005587,0.8,0.6956521739130435,0.7441860465116279
Class-Weighted Random Forest,0.8156424581005587,0.8,0.6956521739130435,0.7441860465116279
SMOTE Random Forest,0.8100558659217877,0.7611940298507462,0.7391304347826086,0.75
