Model,Accuracy,Precision,Recall,F1,AUC
Baseline Random Forest,0.8156424581005587,0.8,0.6956521739130435,0.7441860465116279,0.8300395256916996
Tuned Random Forest,0.8156424581005587,0.875,0.6086956521739131,0.717948717948718,0.8431488801054018
